Age,2024,2025,2026,2027,2028,2029,2030
  0-4,"1,516","1,499","1,495","1,494","1,494","1,492","1,490"
  5-9,"1,762","1,732","1,685","1,640","1,601","1,572","1,553"
 10-14,"1,864","1,867","1,864","1,843","1,825","1,803","1,773"
 15-19,"1,794","1,836","1,870","1,903","1,915","1,923","1,924"
 20-24,"1,763","1,772","1,801","1,841","1,889","1,926","1,965"
 25-29,"1,922","1,923","1,909","1,886","1,873","1,867","1,872"
 30-34,"1,971","1,962","1,951","1,952","1,953","1,951","1,950"
 35-39,"1,897","1,912","1,935","1,956","1,959","1,965","1,956"
 40-44,"1,842","1,846","1,853","1,856","1,871","1,888","1,904"
 45-49,"1,703","1,734","1,769","1,804","1,834","1,840","1,844"
 50-54,"1,832","1,798","1,750","1,706","1,683","1,696","1,726"
 55-59,"1,901","1,887","1,883","1,868","1,845","1,807","1,774"
 60-64,"1,753","1,795","1,823","1,841","1,846","1,843","1,830"
 65-69,"1,451","1,492","1,536","1,581","1,623","1,668","1,709"
 70-74,"1,244","1,242","1,256","1,281","1,309","1,341","1,379"
 75-79,"1,154","1,168","1,172","1,119","1,096","1,088","1,088"
 80-84,700,731,771,851,894,913,924
 85-89,400,407,406,414,431,456,478
 90-94,155,160,166,172,179,186,190
 95-99,34,36,38,39,41,42,44
 100 & over,3,3,3,4,4,4,5
