Age,Males,Females,All
0,"305,120","291,186","596,306"
1,"303,019","289,546","592,565"
2,"314,737","300,800","615,537"
3,"321,299","305,906","627,205"
4,"325,230","310,539","635,769"
5,"333,023","318,263","651,286"
6,"343,154","326,932","670,086"
7,"339,729","324,633","664,362"
8,"341,966","326,780","668,746"
9,"351,482","334,543","686,025"
10,"360,539","344,341","704,880"
11,"361,688","343,967","705,655"
12,"356,777","339,949","696,726"
13,"354,079","337,345","691,424"
14,"357,199","340,474","697,673"
15,"344,190","326,885","671,075"
16,"336,612","319,023","655,635"
17,"338,045","317,906","655,951"
18,"339,142","318,297","657,439"
19,"339,234","319,325","658,559"
20,"338,398","325,075","663,473"
21,"338,465","327,194","665,659"
22,"345,338","333,614","678,952"
23,"358,287","350,669","708,956"
24,"360,304","358,581","718,885"
25,"365,799","367,839","733,638"
26,"360,324","363,988","724,312"
27,"364,086","374,022","738,108"
28,"372,653","387,522","760,175"
29,"372,807","390,671","763,478"
30,"383,710","404,331","788,041"
31,"389,563","410,921","800,484"
32,"387,640","413,176","800,816"
33,"384,620","411,450","796,070"
34,"387,905","417,983","805,888"
35,"378,829","409,203","788,032"
36,"378,199","404,000","782,199"
37,"377,186","401,928","779,114"
38,"365,502","389,436","754,938"
39,"366,111","389,518","755,629"
40,"365,728","386,124","751,852"
41,"369,097","390,735","759,832"
42,"371,802","390,956","762,758"
43,"357,560","373,536","731,096"
44,"334,069","346,385","680,454"
45,"328,458","339,293","667,751"
46,"335,746","345,871","681,617"
47,"342,585","353,016","695,601"
48,"346,685","356,906","703,591"
49,"360,442","370,244","730,686"
50,"373,390","384,214","757,604"
51,"385,375","399,644","785,019"
52,"375,807","389,031","764,838"
53,"383,988","397,139","781,127"
54,"382,566","395,547","778,113"
55,"385,629","396,676","782,305"
56,"381,742","396,578","778,320"
57,"381,998","396,708","778,706"
58,"376,164","390,539","766,703"
59,"367,036","380,695","747,731"
60,"357,672","371,143","728,815"
61,"344,928","355,407","700,335"
62,"329,857","340,408","670,265"
63,"319,451","331,322","650,773"
64,"309,724","321,164","630,888"
65,"294,558","308,551","603,109"
66,"282,293","295,719","578,012"
67,"268,536","284,931","553,467"
68,"266,443","285,437","551,880"
69,"260,410","278,929","539,339"
70,"249,450","271,460","520,910"
71,"249,080","271,487","520,567"
72,"249,070","275,610","524,680"
73,"252,982","280,129","533,111"
74,"263,625","294,843","558,468"
75,"283,090","316,380","599,470"
76,"211,587","240,292","451,879"
77,"200,401","230,370","430,771"
78,"195,036","225,985","421,021"
79,"174,093","206,546","380,639"
80,"149,572","181,398","330,970"
81,"127,665","159,103","286,768"
82,"127,183","161,482","288,665"
83,"120,061","155,577","275,638"
84,"109,873","145,759","255,632"
85,"97,456","132,931","230,387"
86,"84,705","120,255","204,960"
87,"73,428","107,758","181,186"
88,"60,864","93,505","154,369"
89,"51,376","82,264","133,640"
90,"170,964","349,365","520,329"
